编码,中文名称,拼音名称,区域级别,上级区域编码,短名字,后缀
150600,鄂尔多斯市,e er duo si shi,3,150000,鄂尔多斯,市
420700,鄂州市,e zhou shi,3,420000,鄂州,市
422800,恩施土家族苗族自治州,en shi tu jia zu miao zu zi zhi zhou,3,420000,恩施,土家族苗族自治州
450600,防城港市,fang cheng gang shi,3,450000,防城港,市
440600,佛山市,fo shan shi,3,440000,佛山,市
350100,福州市,fu zhou shi,3,350000,福州,市
210400,抚顺市,fu shun shi,3,210000,抚顺,市
361000,抚州市,fu zhou shi,3,360000,抚州,市
210900,阜新市,fu xin shi,3,210000,阜新,市
341200,阜阳市,fu yang shi,3,340000,阜阳,市
623000,甘南藏族自治州,gan nan zang zu zi zhi zhou,3,620000,甘南,藏族自治州
513300,甘孜藏族自治州,gan zi zang zu zi zhi zhou,3,510000,甘孜,藏族自治州
360700,赣州市,gan zhou shi,3,360000,赣州,市
640400,固原市,gu yuan shi,3,640000,固原,市
511600,广安市,guang an shi,3,510000,广安,市
510800,广元市,guang yuan shi,3,510000,广元,市
440100,广州市,guang zhou shi,3,440000,广州,市
450800,贵港市,gui gang shi,3,450000,贵港,市
520100,贵阳市,gui yang shi,3,520000,贵阳,市
450300,桂林市,gui lin shi,3,450000,桂林,市
632600,果洛藏族自治州,guo luo zang zu zi zhi zhou,3,630000,果洛,藏族自治州
230100,哈尔滨市,ha er bin shi,3,230000,哈尔滨,市
650500,哈密市,ha mi shi,3,650000,哈密,市
632200,海北藏族自治州,hai bei zang zu zi zhi zhou,3,630000,海北,藏族自治州
630200,海东市,hai dong shi,3,630000,海东,市
460100,海口市,hai kou shi,3,460000,海口,市
632500,海南藏族自治州,hai nan zang zu zi zhi zhou,3,630000,海南,藏族自治州
632800,海西蒙古族藏族自治州,hai xi meng gu zu zang zu zi zhi zhou,3,630000,海西,蒙古族藏族自治州
130400,邯郸市,han dan shi,3,130000,邯郸,市
610700,汉中市,han zhong shi,3,610000,汉中,市
330100,杭州市,hang zhou shi,3,330000,杭州,市
340100,合肥市,he fei shi,3,340000,合肥,市
653200,和田地区,he tian di qu,3,650000,和田,地区
